日志时间：2012-07-31 15:00:15,496  
[系统:system;描述:方法拦截;代码:700]执行用时：135毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":2,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:00:16,746  
[系统:system;描述:方法拦截;代码:700]执行用时：71毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,ce3dfae9d34b4861a31e482d68ccdf95,b29f45352f374730944bd7c5498fca44,529154,836036143@qq.com,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:06:21,868  
[系统:system;描述:方法拦截;代码:700]执行用时：241毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,0; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":1,"pid":0,"name":"北京市","type":"省/直辖市","zip":"110000","code":null,"child_total":0},{"id":2,"pid":0,"name":"天津市","type":"省/直辖市","zip":"120000","code":null,"child_total":0},{"id":3,"pid":0,"name":"河北省","type":"省/直辖市","zip":"130000","code":null,"child_total":0},{"id":4,"pid":0,"name":"山西省","type":"省/直辖市","zip":"140000","code":null,"child_total":0},{"id":5,"pid":0,"name":"内蒙古自治区","type":"省/直辖市","zip":"150000","code":null,"child_total":0},{"id":6,"pid":0,"name":"辽宁省","type":"省/直辖市","zip":"210000","code":null,"child_total":0},{"id":7,"pid":0,"name":"吉林省","type":"省/直辖市","zip":"220000","code":null,"child_total":0},{"id":8,"pid":0,"name":"黑龙江省","type":"省/直辖市","zip":"230000","code":null,"child_total":0},{"id":9,"pid":0,"name":"上海市","type":"省/直辖市","zip":"310000","code":null,"child_total":0},{"id":10,"pid":0,"name":"江苏省","type":"省/直辖市","zip":"320000","code":null,"child_total":0},{"id":11,"pid":0,"name":"浙江省","type":"省/直辖市","zip":"330000","code":null,"child_total":0},{"id":12,"pid":0,"name":"安徽省","type":"省/直辖市","zip":"340000","code":null,"child_total":0},{"id":13,"pid":0,"name":"福建省","type":"省/直辖市","zip":"350000","code":null,"child_total":0},{"id":14,"pid":0,"name":"江西省","type":"省/直辖市","zip":"360000","code":null,"child_total":0},{"id":15,"pid":0,"name":"山东省","type":"省/直辖市","zip":"370000","code":null,"child_total":0},{"id":16,"pid":0,"name":"河南省","type":"省/直辖市","zip":"410000","code":null,"child_total":0},{"id":17,"pid":0,"name":"湖北省","type":"省/直辖市","zip":"420000","code":null,"child_total":0},{"id":18,"pid":0,"name":"湖南省","type":"省/直辖市","zip":"430000","code":null,"child_total":0},{"id":19,"pid":0,"name":"广东省","type":"省/直辖市","zip":"440000","code":null,"child_total":0},{"id":20,"pid":0,"name":"广西壮族自治区","type":"省/直辖市","zip":"450000","code":null,"child_total":0},{"id":22,"pid":0,"name":"重庆市","type":"省/直辖市","zip":"500000","code":null,"child_total":0},{"id":23,"pid":0,"name":"四川省","type":"省/直辖市","zip":"510000","code":null,"child_total":0},{"id":24,"pid":0,"name":"贵州省","type":"省/直辖市","zip":"520000","code":null,"child_total":0},{"id":25,"pid":0,"name":"云南省","type":"省/直辖市","zip":"530000","code":null,"child_total":0},{"id":26,"pid":0,"name":"西藏自治区","type":"省/直辖市","zip":"540000","code":null,"child_total":0},{"id":27,"pid":0,"name":"陕西省","type":"省/直辖市","zip":"610000","code":null,"child_total":0},{"id":28,"pid":0,"name":"甘肃省","type":"省/直辖市","zip":"620000","code":null,"child_total":0},{"id":29,"pid":0,"name":"青海省","type":"省/直辖市","zip":"630000","code":null,"child_total":0},{"id":30,"pid":0,"name":"宁夏回族自治区","type":"省/直辖市","zip":"640000","code":null,"child_total":0},{"id":31,"pid":0,"name":"新疆维吾尔自治区","type":"省/直辖市","zip":"650000","code":null,"child_total":0},{"id":32,"pid":0,"name":"台湾省","type":"省/直辖市","zip":"710000","code":null,"child_total":0},{"id":33,"pid":0,"name":"香港特别行政区","type":"省/直辖市","zip":"810000","code":null,"child_total":0},{"id":34,"pid":0,"name":"海南省","type":"省/直辖市","zip":"460100","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:07:35,205  
[系统:system;描述:方法拦截;代码:700]执行用时：302毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,0; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":12,"pid":0,"name":"安徽省","type":"省/直辖市","zip":"340000","code":null,"child_total":0},{"id":1,"pid":0,"name":"北京市","type":"省/直辖市","zip":"110000","code":null,"child_total":0},{"id":13,"pid":0,"name":"福建省","type":"省/直辖市","zip":"350000","code":null,"child_total":0},{"id":28,"pid":0,"name":"甘肃省","type":"省/直辖市","zip":"620000","code":null,"child_total":0},{"id":19,"pid":0,"name":"广东省","type":"省/直辖市","zip":"440000","code":null,"child_total":0},{"id":20,"pid":0,"name":"广西壮族自治区","type":"省/直辖市","zip":"450000","code":null,"child_total":0},{"id":24,"pid":0,"name":"贵州省","type":"省/直辖市","zip":"520000","code":null,"child_total":0},{"id":34,"pid":0,"name":"海南省","type":"省/直辖市","zip":"460100","code":null,"child_total":0},{"id":3,"pid":0,"name":"河北省","type":"省/直辖市","zip":"130000","code":null,"child_total":0},{"id":16,"pid":0,"name":"河南省","type":"省/直辖市","zip":"410000","code":null,"child_total":0},{"id":8,"pid":0,"name":"黑龙江省","type":"省/直辖市","zip":"230000","code":null,"child_total":0},{"id":17,"pid":0,"name":"湖北省","type":"省/直辖市","zip":"420000","code":null,"child_total":0},{"id":18,"pid":0,"name":"湖南省","type":"省/直辖市","zip":"430000","code":null,"child_total":0},{"id":7,"pid":0,"name":"吉林省","type":"省/直辖市","zip":"220000","code":null,"child_total":0},{"id":10,"pid":0,"name":"江苏省","type":"省/直辖市","zip":"320000","code":null,"child_total":0},{"id":14,"pid":0,"name":"江西省","type":"省/直辖市","zip":"360000","code":null,"child_total":0},{"id":6,"pid":0,"name":"辽宁省","type":"省/直辖市","zip":"210000","code":null,"child_total":0},{"id":5,"pid":0,"name":"内蒙古自治区","type":"省/直辖市","zip":"150000","code":null,"child_total":0},{"id":30,"pid":0,"name":"宁夏回族自治区","type":"省/直辖市","zip":"640000","code":null,"child_total":0},{"id":29,"pid":0,"name":"青海省","type":"省/直辖市","zip":"630000","code":null,"child_total":0},{"id":15,"pid":0,"name":"山东省","type":"省/直辖市","zip":"370000","code":null,"child_total":0},{"id":4,"pid":0,"name":"山西省","type":"省/直辖市","zip":"140000","code":null,"child_total":0},{"id":27,"pid":0,"name":"陕西省","type":"省/直辖市","zip":"610000","code":null,"child_total":0},{"id":9,"pid":0,"name":"上海市","type":"省/直辖市","zip":"310000","code":null,"child_total":0},{"id":23,"pid":0,"name":"四川省","type":"省/直辖市","zip":"510000","code":null,"child_total":0},{"id":32,"pid":0,"name":"台湾省","type":"省/直辖市","zip":"710000","code":null,"child_total":0},{"id":2,"pid":0,"name":"天津市","type":"省/直辖市","zip":"120000","code":null,"child_total":0},{"id":26,"pid":0,"name":"西藏自治区","type":"省/直辖市","zip":"540000","code":null,"child_total":0},{"id":33,"pid":0,"name":"香港特别行政区","type":"省/直辖市","zip":"810000","code":null,"child_total":0},{"id":31,"pid":0,"name":"新疆维吾尔自治区","type":"省/直辖市","zip":"650000","code":null,"child_total":0},{"id":25,"pid":0,"name":"云南省","type":"省/直辖市","zip":"530000","code":null,"child_total":0},{"id":11,"pid":0,"name":"浙江省","type":"省/直辖市","zip":"330000","code":null,"child_total":0},{"id":22,"pid":0,"name":"重庆市","type":"省/直辖市","zip":"500000","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:07:44,650  
[系统:system;描述:方法拦截;代码:700]执行用时：7毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:07:45,552  
[系统:system;描述:方法拦截;代码:700]执行用时：119毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:07:49,836  
[系统:system;描述:方法拦截;代码:700]执行用时：4毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:07:50,267  
[系统:system;描述:方法拦截;代码:700]执行用时：59毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:04,142  
[系统:system;描述:方法拦截;代码:700]执行用时：6毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:04,840  
[系统:system;描述:方法拦截;代码:700]执行用时：76毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:19,280  
[系统:system;描述:方法拦截;代码:700]执行用时：6毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:19,765  
[系统:system;描述:方法拦截;代码:700]执行用时：68毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:32,764  
[系统:system;描述:方法拦截;代码:700]执行用时：244毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,0; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":1,"pid":0,"name":"北京市","type":"省/直辖市","zip":"110000","code":null,"child_total":0},{"id":2,"pid":0,"name":"天津市","type":"省/直辖市","zip":"120000","code":null,"child_total":0},{"id":3,"pid":0,"name":"河北省","type":"省/直辖市","zip":"130000","code":null,"child_total":0},{"id":4,"pid":0,"name":"山西省","type":"省/直辖市","zip":"140000","code":null,"child_total":0},{"id":5,"pid":0,"name":"内蒙古自治区","type":"省/直辖市","zip":"150000","code":null,"child_total":0},{"id":6,"pid":0,"name":"辽宁省","type":"省/直辖市","zip":"210000","code":null,"child_total":0},{"id":7,"pid":0,"name":"吉林省","type":"省/直辖市","zip":"220000","code":null,"child_total":0},{"id":8,"pid":0,"name":"黑龙江省","type":"省/直辖市","zip":"230000","code":null,"child_total":0},{"id":9,"pid":0,"name":"上海市","type":"省/直辖市","zip":"310000","code":null,"child_total":0},{"id":10,"pid":0,"name":"江苏省","type":"省/直辖市","zip":"320000","code":null,"child_total":0},{"id":11,"pid":0,"name":"浙江省","type":"省/直辖市","zip":"330000","code":null,"child_total":0},{"id":12,"pid":0,"name":"安徽省","type":"省/直辖市","zip":"340000","code":null,"child_total":0},{"id":13,"pid":0,"name":"福建省","type":"省/直辖市","zip":"350000","code":null,"child_total":0},{"id":14,"pid":0,"name":"江西省","type":"省/直辖市","zip":"360000","code":null,"child_total":0},{"id":15,"pid":0,"name":"山东省","type":"省/直辖市","zip":"370000","code":null,"child_total":0},{"id":16,"pid":0,"name":"河南省","type":"省/直辖市","zip":"410000","code":null,"child_total":0},{"id":17,"pid":0,"name":"湖北省","type":"省/直辖市","zip":"420000","code":null,"child_total":0},{"id":18,"pid":0,"name":"湖南省","type":"省/直辖市","zip":"430000","code":null,"child_total":0},{"id":19,"pid":0,"name":"广东省","type":"省/直辖市","zip":"440000","code":null,"child_total":0},{"id":20,"pid":0,"name":"广西壮族自治区","type":"省/直辖市","zip":"450000","code":null,"child_total":0},{"id":22,"pid":0,"name":"重庆市","type":"省/直辖市","zip":"500000","code":null,"child_total":0},{"id":23,"pid":0,"name":"四川省","type":"省/直辖市","zip":"510000","code":null,"child_total":0},{"id":24,"pid":0,"name":"贵州省","type":"省/直辖市","zip":"520000","code":null,"child_total":0},{"id":25,"pid":0,"name":"云南省","type":"省/直辖市","zip":"530000","code":null,"child_total":0},{"id":26,"pid":0,"name":"西藏自治区","type":"省/直辖市","zip":"540000","code":null,"child_total":0},{"id":27,"pid":0,"name":"陕西省","type":"省/直辖市","zip":"610000","code":null,"child_total":0},{"id":28,"pid":0,"name":"甘肃省","type":"省/直辖市","zip":"620000","code":null,"child_total":0},{"id":29,"pid":0,"name":"青海省","type":"省/直辖市","zip":"630000","code":null,"child_total":0},{"id":30,"pid":0,"name":"宁夏回族自治区","type":"省/直辖市","zip":"640000","code":null,"child_total":0},{"id":31,"pid":0,"name":"新疆维吾尔自治区","type":"省/直辖市","zip":"650000","code":null,"child_total":0},{"id":32,"pid":0,"name":"台湾省","type":"省/直辖市","zip":"710000","code":null,"child_total":0},{"id":33,"pid":0,"name":"香港特别行政区","type":"省/直辖市","zip":"810000","code":null,"child_total":0},{"id":34,"pid":0,"name":"海南省","type":"省/直辖市","zip":"460100","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:34,336  
[系统:system;描述:方法拦截;代码:700]执行用时：8毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:34,599  
[系统:system;描述:方法拦截;代码:700]执行用时：123毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:39,484  
[系统:system;描述:方法拦截;代码:700]执行用时：24毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,5; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":404,"pid":5,"name":"呼和浩特市","type":"地区","zip":"150100","code":null,"child_total":0},{"id":415,"pid":5,"name":"包头市","type":"地区","zip":"150200","code":null,"child_total":0},{"id":426,"pid":5,"name":"乌海市","type":"地区","zip":"150300","code":null,"child_total":0},{"id":431,"pid":5,"name":"赤峰市","type":"地区","zip":"150400","code":null,"child_total":0},{"id":445,"pid":5,"name":"呼伦贝尔盟","type":"地区","zip":"152100","code":null,"child_total":0},{"id":459,"pid":5,"name":"兴安盟","type":"地区","zip":"152200","code":null,"child_total":0},{"id":466,"pid":5,"name":"哲里木盟","type":"地区","zip":"152300","code":null,"child_total":0},{"id":475,"pid":5,"name":"锡林郭勒盟","type":"地区","zip":"152500","code":null,"child_total":0},{"id":488,"pid":5,"name":"乌兰察布盟","type":"地区","zip":"152600","code":null,"child_total":0},{"id":500,"pid":5,"name":"伊克昭盟","type":"地区","zip":"152700","code":null,"child_total":0},{"id":509,"pid":5,"name":"巴彦淖尔盟","type":"地区","zip":"152800","code":null,"child_total":0},{"id":517,"pid":5,"name":"阿拉善盟","type":"地区","zip":"152900","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:08:50,424  
[系统:system;描述:方法拦截;代码:700]执行用时：20毫秒;请求信息：Invocation: method 'GetRegionList', arguments WebSite,token,guid,user_id,uid,459; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"id":460,"pid":459,"name":"乌兰浩特市","type":"区县","zip":"152201","code":null,"child_total":0},{"id":461,"pid":459,"name":"阿尔山市","type":"区县","zip":"152202","code":null,"child_total":0},{"id":462,"pid":459,"name":"科尔沁右翼前旗","type":"区县","zip":"152221","code":null,"child_total":0},{"id":463,"pid":459,"name":"科尔沁右翼中旗","type":"区县","zip":"152222","code":null,"child_total":0},{"id":464,"pid":459,"name":"扎赉特旗","type":"区县","zip":"152223","code":null,"child_total":0},{"id":465,"pid":459,"name":"突泉县","type":"区县","zip":"152224","code":null,"child_total":0}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:06,865  
[系统:system;描述:方法拦截;代码:700]执行用时：5毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:07,386  
[系统:system;描述:方法拦截;代码:700]执行用时：62毫秒;请求信息：Invocation: method 'GetPayList', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,,12323; target is of Type [MobileWcf.ServiceLibrary.BaseData.BaseDataService];返回信息：{"list":[{"Key":"货到付款（送货上门后再付款，支持现金或POS机刷卡)","Value":0},{"Key":"在线支付（支持绝大数银行借记卡及部分银行信息卡）","Value":1}],"total":0,"page":0,"size":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:24,991  
[系统:system;描述:方法拦截;代码:700]执行用时：6毫秒;请求信息：Invocation: method 'GetShoppingCartGoodsNum', arguments WebSite,,01e06183effb4f82b8f15addba287d32,0,; target is of Type [MobileWcf.ServiceLibrary.Order.OrderService];返回信息：{"info":0,"msg":null,"status":1,"data":null}; 日志时间：2012-07-31 15:09:25,540  
